,comment,target
147,Fantastic course! I would recommend to anyone interested in learning the graph data structure in a fun and hands-on and engaging way! Definitely one of the best courses I have followed on Coursera.,"{'cours': ['courses', 'course'], 'anyon': ['anyone'], 'graph data structur': ['graph data structure'], 'fun': ['fun'], 'way': ['way']}"
148,"Although it is a little bit hard for beginner, it's really useful !! I am so happy that I have learned a lot about graph since there are many difficulties in this course.","{'bit': ['bit'], 'beginn': ['beginner'], 'lot': ['lot'], 'graph': ['graph'], 'difficulti': ['difficulties'], 'cours': ['course']}"
149,Pretty challenging but very interesting with a lot of useful assignments. Certainly good for those who aren't familiar with a data structure called graphs.,"{'pretti': ['Pretty'], 'lot': ['lot'], 'assign': ['assignments'], 'data structur': ['data structure'], 'graph': ['graphs']}"
150,One of the coolest courses I took on Coursera!,{'cours': ['courses']}
151,"Excellent course, appreciated the peer review aspect.","{'cours': ['course'], 'peer review aspect': ['peer review aspect']}"
152,Excellent job! Learning various search algorithms with diverse applications in real life.,"{'job': ['job'], 'learn search algorithm': ['Learning search algorithms'], 'applic': ['applications'], 'life': ['life']}"
153,A great and 'must-do' course for all beginners.,"{'must-do cours': ['must-do course'], 'beginn': ['beginners']}"
154,Great ,{}
155,Good introduction to Data Structures with Java examples,"{'introduct': ['introduction'], 'data structur': ['Data Structures'], 'java exampl': ['Java examples']}"
156,"I thought the course was an outstanding treatment of data structures and algorithms. The instructors advance to more complex structures and algorithms as the student progresses. I never felt overwhelmed at any stage, and by the end of the course, I was impressed with how much new material we had covered.","{'cours': ['course'], 'treatment': ['treatment'], 'data structur': ['data structures'], 'algorithm': ['algorithms'], 'instructor': ['instructors'], 'advanc': ['advance'], 'structur': ['structures'], 'student': ['student'], 'stage': ['stage'], 'materi': ['material']}"
157,Great learning!,{'learn': ['learning']}
158,"It was really great course ,well designed and challenging ",{'cours': ['course']}
159,"UCSD always bring there A game, with fun projects and extensions to real world problems. I have completed all three courses.This course was especially informative as it dipped into the graph theory and the optimization problems we face. The course itself is fun and informative and may seem tough at times but is really rewarding once complete. Thanks guys and girls.","{'ucsd': ['UCSD'], 'game': ['game'], 'fun project': ['fun projects'], 'extens': ['extensions'], 'world problem': ['world problems'], 'courses.thi cours': ['courses.This course'], 'graph theori': ['graph theory'], 'optim problem': ['optimization problems'], 'cours': ['course'], 'fun': ['fun'], 'time': ['times']}"
160,nice course. very well organised and presented. good refresher of ADS in Java,"{'cours': ['course'], 'refresh': ['refresher'], 'ad': ['ADS'], 'java': ['Java']}"
161,"The projects are fun, but the course is too short and abbreviated.","{'project': ['projects'], 'fun': ['fun'], 'cours': ['course']}"
162,Greate course! It was really fun and really difficult for me.,"{'great cours': ['Greate course'], 'fun': ['fun']}"
163,"Another course handled excellently in the series. All the lectures and topics were really effective in introducing weighty concepts, but making it much easier to work with them through clear explanations. Super knowledgeable instructers, assignments and quizzes helped contribute to some solid learning through the course. The course was put together really well, thanks!","{'cours': ['course'], 'seri': ['series'], 'topic': ['topics'], 'concept': ['concepts'], 'explan': ['explanations'], 'super instruct': ['Super instructers'], 'assign': ['assignments'], 'quizz': ['quizzes'], 'learn': ['learning'], 'thank': ['thanks']}"
164,"Overall, I enjoyed this course. Especially from week 1 to 3 where the course contents were simply amazing.It would be great if week 4 and 5 can engage the students like week 1 to 3, and the forum can be more alive.Thank you.","{'cours': ['course'], 'week': ['week'], 'cours content': ['course contents'], 'amazing.it': ['amazing.It'], 'student': ['students'], 'forum': ['forum']}"
165,"This is a really useful course. The project is quite relevant, and the work with breadth first search, Dijkstra, and A Search are really interesting!","{'cours': ['course'], 'project': ['project'], 'work': ['work'], 'breadth search': ['breadth search'], 'dijkstra': ['Dijkstra']}"
166,Challenging class and well-designed course for intermediate Java programmers.,"{'class cours': ['class course'], 'java programm': ['Java programmers']}"
167,Excellent course!,{'cours': ['course']}
168,This course was excellent! I learned so much and I am now able to understand the significance of knowing how Algorithms and Data Structures are related in a practical way. I,"{'cours': ['course'], 'signific': ['significance'], 'data': ['Data'], 'algorithm structur': ['Algorithms Structures'], 'way': ['way']}"
169,The last 2 lessons did not have much content. Particularly there was no practical assessment on traveling salesman,"{'lesson': ['lessons'], 'content': ['content'], 'assess': ['assessment']}"
170,Nice course!,{'cours': ['course']}
171,Fantastic Course,{'cours': ['Course']}
172,"It would be very, very beneficial if maybe one or two more videos were added to dive in-depth into ADTs and their method callback run-time analysis. Aside from that this class was educational and interesting as expected.","{'video': ['videos'], 'dive': ['dive'], 'adt': ['ADTs'], 'callback run-tim analysi': ['callback run-time analysis'], 'class': ['class']}"
173,Very nice course for clearing the concept of the advanced search algorithm and applying them in the real world scenario. Well designed course and programming materials. ,"{'cours': ['course'], 'concept': ['concept'], 'search algorithm': ['search algorithm'], 'world scenario': ['world scenario'], 'program materi': ['programming materials']}"
174,Wonderful Course. This has very good explanation of Data Structures,"{'cours': ['Course'], 'explan': ['explanation'], 'data structur': ['Data Structures']}"
175,great course ,{'cours': ['course']}
176,"its hard, but intresting",{}
177, Very interesting and adaptative for the student as you can catch another later session.I found there's a huge gap between week1 and week2.Thanks ,"{'student': ['student'], 'session.i': ['session.I'], 'gap': ['gap'], 'week1': ['week1'], 'week2.thank': ['week2.Thanks']}"
178, Good course! ,{'cours': ['course']}
179,"Good course. The example application is fun looking at graph data structures as part of route planning in a Google Maps based app - and there is room to experiment. I continue to enjoy the instructors, who present well and have obviously done a good job preparing the material. Much fun!","{'cours': ['course'], 'exampl applic': ['example application'], 'fun': ['fun'], 'graph data structur': ['graph data structures'], 'part': ['part'], 'rout plan': ['route planning'], 'googl map': ['Google Maps'], 'room': ['room'], 'experi': ['experiment'], 'instructor': ['instructors'], 'job': ['job'], 'materi': ['material']}"
180,Now i understand how gps planing routes work! I really like Data Structures and the importance of Graphs,"{'data structur': ['Data Structures'], 'import': ['importance'], 'graph': ['Graphs']}"
181,"Loved it. Once again the skeleton code provided and course material was great. It was once again introducing new concepts which were never part of BASIC, FORTRAN or DELPHI. So I enjoyed the pain of having to get my head around the objects and code.Thanks !!!!","{'skeleton code': ['skeleton code'], 'cours materi': ['course material'], 'concept': ['concepts'], 'part': ['part'], 'basic': ['BASIC'], 'fortran': ['FORTRAN'], 'pain': ['pain'], 'head': ['head'], 'object': ['objects'], 'code.thank': ['code.Thanks']}"
182,I understood about graphs from here at last after trying various resources online but peace was attained here in this course,"{'graph': ['graphs'], 'resourc': ['resources'], 'onlin': ['online'], 'peac': ['peace'], 'cours': ['course']}"
183,I give really high marks for this course as the graphs are presented in a proper and practical manner. I have a suggestion to present the High Level of Graphs more in the area of Information theory. Otherwise it is nice approach and very good implementation of the material and exams.,"{'mark': ['marks'], 'cours': ['course'], 'graph': ['Graphs', 'graphs'], 'manner': ['manner'], 'level': ['Level'], 'area': ['area'], 'inform theori': ['Information theory'], 'approach': ['approach'], 'implement': ['implementation'], 'materi': ['material'], 'exam': ['exams']}"
184,"awesome course , gave me lot of confidence thanks a lot ","{'cours': ['course'], 'lot': ['lot'], 'confid': ['confidence'], 'thank': ['thanks']}"
185,"The course content and presentation was excellent. I love the large-project format of the classes in this specialization. I only wish this course had more resources for working offline, at a level that matches the previous courses in the specialization. ","{'cours content': ['course content'], 'present': ['presentation'], 'format': ['format'], 'class': ['classes'], 'special': ['specialization'], 'cours': ['courses', 'course'], 'resourc': ['resources'], 'offlin': ['offline'], 'level': ['level']}"
186,This is an awesome course with great stuff for learning and practical graphs concept in programming with some useful algorithms like A ,"{'cours': ['course'], 'stuff': ['stuff'], 'graph concept': ['graphs concept'], 'program': ['programming'], 'algorithm': ['algorithms']}"
187,Great course!,{'cours': ['course']}
188,Introduction to data structures. It wastes a week talking about theoretical complexity when it could have been used for something more productive.,"{'introduct': ['Introduction'], 'data structur': ['data structures'], 'week': ['week'], 'complex': ['complexity'], 'someth': ['something']}"
189,Exciting algorithm application in path-finding and routing.,"{'algorithm applic': ['algorithm application'], 'path-find': ['path-finding']}"
190,Best classes I ever took till now. This really enhanced my Java programming skills. Thank you.,"{'class': ['classes'], 'java program skill': ['Java programming skills']}"
191,Thanks for sharing the knowledge.this course was awesome,"{'thank': ['Thanks'], 'knowledge.thi cours': ['knowledge.this course']}"
192,I have really enjoyed this!,{}
193,Very interesting and challenging,{}
194,"The contents were pretty basic for me, but they were presented clearly. All in all I liked the review this course gave me.","{'content': ['contents'], 'review': ['review'], 'cours': ['course']}"
195,Very good series for learning Java and OO Principles. The big application approach is very interesting as we can see the whole picture even when we know little yet. The interviews with software engineers are very enlightening.This particular installment has the animation of the shortest path algorithm on the map and that's very helpful to fully understand the amount of work and the effects of optimizations in different shortest path approaches.,"{'seri': ['series'], 'oo': ['OO'], 'java principl': ['Java Principles'], 'applic approach': ['application approach'], 'pictur': ['picture'], 'interview': ['interviews'], 'softwar engin': ['software engineers'], 'instal': ['installment'], 'path algorithm': ['path algorithm'], 'map': ['map'], 'amount': ['amount'], 'work': ['work'], 'effect': ['effects'], 'optim': ['optimizations'], 'path approach': ['path approaches']}"
196,great course thanks!,"{'cours': ['course'], 'thank': ['thanks']}"
197,"The course is well-laid and very interesting. Even though the material is pretty difficult and advanced. As always the great talent of Christine, Mia and Leo is beyond praise. I definitely recommend this course for developers who want to improve their mastery. Many thanks for the brilliant course.","{'cours': ['course'], 'materi': ['material'], 'talent': ['talent'], 'christin': ['Christine'], 'mia': ['Mia'], 'prais': ['praise'], 'develop': ['developers'], 'masteri': ['mastery'], 'thank': ['thanks']}"
198,well structured! I learnt a lot.,{'lot': ['lot']}
199,"What I really enjoyed in this course was to discover how to represent streets and intersections and finally trace a path from a starting point to a destination, like a GPS! Really nice!","{'cours': ['course'], 'path': ['path'], 'point': ['point'], 'destin': ['destination']}"
200,As all their courses this one is great!,{'cours': ['courses']}
201,Awesome course!,{'cours': ['course']}
202,Graphs now are more interesting and useful!,{'graph': ['Graphs']}
203,Excellent specialization,{'special': ['specialization']}
204,Teach you the basic of graph,"{'basic': ['basic'], 'graph': ['graph']}"
205,Nice course.,{'cours': ['course']}
206,Thanks a lot! Very interesting course!,"{'thank': ['Thanks'], 'lot': ['lot'], 'cours': ['course']}"
207,Nice one!!,{}
208,"At first the course is hands on, later on it becomes more of theory. This would have been a challenging course if we had more harder graph problems to solve though.","{'cours': ['course'], 'theori': ['theory'], 'graph problem': ['graph problems']}"
209,Amazing beginner course to learn about the Graph data structure.,"{'beginn cours': ['beginner course'], 'graph data structur': ['Graph data structure']}"
