,comment,target
228,"I was hoping to learn about PROBIT models. I know they are very similar to LOGIT ones, but still... the pace is a little bit too fast and I think it requires more time than what it says.","{'probit model': ['PROBIT models'], 'logit one': ['LOGIT ones'], 'pace': ['pace'], 'bit': ['bit'], 'time': ['time']}"
229,"Great ressources. Usefull presentations, maybe too rich for a newbie.It was too fast for me. Could be done in 2x more time ","{'ressourc': ['ressources'], 'present': ['presentations'], 'newbie.it': ['newbie.It'], 'time': ['time']}"
230,good review of the fundamentals,"{'review': ['review'], 'fundament': ['fundamentals']}"
231,Learned a lot,{'lot': ['lot']}
232,Great course.,{'cours': ['course']}
233,Excellent - thanks!,{'thank': ['thanks']}
234,Excellent course. Might be difficult to get full value of information without prior exposure background.,"{'cours': ['course'], 'might': ['Might'], 'valu': ['value'], 'inform': ['information'], 'exposur background': ['exposure background']}"
235,Very practical hands-on intro to regression models. You will definitely be able to apply those methods after this course whenever you need them.,"{'intro': ['intro'], 'regress model': ['regression models'], 'method': ['methods'], 'cours': ['course']}"
236,"Regression models was almost just as difficult as statistical inference. Again, the swirls and exercises were of great help. The pace, as always, was quite fast, but in the end all the pieces fitted together. Congratulations on a job well done!","{'regress model': ['Regression models'], 'infer': ['inference'], 'swirl': ['swirls'], 'exercis': ['exercises'], 'help': ['help'], 'pace': ['pace'], 'piec': ['pieces'], 'congratul': ['Congratulations'], 'job': ['job']}"
237,Like the way the Prof uses media. This is a very light touch on a very deep subject so it has to balance analytical work with the light trust me and just do it approach. The balance was mostly there although on a couple items I don't know that I had a good enough grip to know what I don't know.,"{'way': ['way'], 'prof': ['Prof'], 'media': ['media'], 'touch': ['touch'], 'subject': ['subject'], 'work': ['work'], 'trust': ['trust'], 'approach': ['approach'], 'balanc': ['balance'], 'grip': ['grip']}"
238,Something was missing from this course. I cam away with an increased understanding of regression but I still feel like I struggle with many concepts and had to put in much more time than the recommended.Still when I found the answer it was all still contained and maybe the material itself is just advanced.my 2c,"{'someth': ['Something'], 'cours': ['course'], 'understand': ['understanding'], 'regress': ['regression'], 'concept': ['concepts'], 'time': ['time'], 'recommended.stil': ['recommended.Still'], 'materi': ['material'], '2c': ['2c']}"
239,"Requires much more than a month to digest the material and complete the assignments. A default initial one-week offering is too tight unless you are only taking the course not working I know one can complete the course in more than a single round and I did that but I still don't think the expectations should be set for a single month.Instruction video content can be much better, at least compared to a lot of other courses on Coursera. ","{'month': ['month'], 'materi': ['material'], 'assign': ['assignments'], 'cours': ['course', 'courses'], 'round': ['round'], 'month.instruct video content': ['month.Instruction video content'], 'lot': ['lot'], 'coursera': ['Coursera']}"
240,Nice Course,{'cours': ['Course']}
241,My name is Jose Antonio from Brazil. I am looking for a new Data Scientist career https www.linkedin.com in joseantonio11 I did this course to get new knowledge about Data Science and better understand the technology and your practical applications. The course was excellent and the classes well taught by teachers.Congratulations to Coursera team and Instructors,"{'name': ['name'], 'brazil': ['Brazil'], 'data scientist career': ['Data Scientist career'], 'cours': ['course'], 'knowledg': ['knowledge'], 'data scienc': ['Data Science'], 'technolog': ['technology'], 'applic': ['applications'], 'class': ['classes'], 'teachers.congratul': ['teachers.Congratulations'], 'coursera team': ['Coursera team'], 'instructor': ['Instructors']}"
242,Very good.,{}
243,Very good course,{'cours': ['course']}
244,Love the whole course approach on the importance of linear models and how one should interpret them to get a better grasp of the data one possesses - one should definitely take the statistical inference course before attempting this course beforehand.,"{'love': ['Love'], 'cours approach': ['course approach'], 'import': ['importance'], 'model': ['models'], 'grasp': ['grasp'], 'data': ['data'], 'infer cours': ['inference course'], 'cours': ['course']}"
245,great introduction to regression models,"{'introduct': ['introduction'], 'regress model': ['regression models']}"
246,This course failed greatly to balance the workload by week. The third week which I think was the most important one have too many information to learn and assimilate whereas the first two weeks could be rearranged to start multivariate regression earlier. Another proof of week 3 issue the related swirl exercises start in week2 2 of them and finish in week4 2 more exercises !!!!!I think one of the most important expertise and knowledge that a data scientist must know and master was unfairly squeezed in one week leaving no time for the learner student to do more search exercises on the subject. ,"{'cours': ['course'], 'workload': ['workload'], 'week': ['weeks', 'week'], 'inform': ['information'], 'regress': ['regression'], 'proof': ['proof'], 'week issu': ['week issue'], 'swirl exercis': ['swirl exercises'], 'week2': ['week2'], 'week4': ['week4'], 'exercis': ['exercises']}"
247,"Great course. The content might be improved to be more clear. I feel that sometimes the instructor assumes we are familiar with some concepts we have not seen in previous courses. Also, some times he does a very good job explaining the WHY before the HOW, and some other times he does not. Very knowledgeable instructor.","{'cours': ['course', 'courses'], 'content': ['content'], 'instructor': ['instructor'], 'concept': ['concepts'], 'time': ['times'], 'job': ['job'], 'how': ['HOW']}"
248,"I am no used to this educational system so I find difficult to follow without any proof or demonstration of the mathematical tools. I find proofs necessary for a good understanding of concepts. Another benefit of proof will be to have a more rigorous framework for variable names in the explanations. Even though this is more a practical course, it will benefit from being a bit more rigorous ; so at least people can make proofs on they own.Other than that, it is a great course. Very practical and to the point.","{'system': ['system'], 'proof': ['proofs', 'proof'], 'demonstr': ['demonstration'], 'tool': ['tools'], 'understand': ['understanding'], 'concept': ['concepts'], 'benefit': ['benefit'], 'framework': ['framework'], 'name': ['names'], 'explan': ['explanations'], 'cours': ['course'], 'bit': ['bit'], 'peopl': ['people'], 'point': ['point']}"
249,nice and practical class! I think if provide some recommend reading may create more deeper insight in regression,"{'class': ['class'], 'read': ['reading'], 'insight': ['insight'], 'regress': ['regression']}"
250,"Sometimes videos were hard to understand, especially in week 3.","{'video': ['videos'], 'week': ['week']}"
251,"I enjoyed the earlier courses more. I did not like the way the materials were provided. There were a lot of very complex ideas were presented, in a very concise and brief manner. Also, there should be more exercises to practice. May be its me, but, I guess, I might need more time to fully comprehend the materials.","{'cours': ['courses'], 'way': ['way'], 'materi': ['materials'], 'lot': ['lot'], 'idea': ['ideas'], 'manner': ['manner'], 'exercis': ['exercises'], 'time': ['time']}"
252,"To me, this is by far the best course in the series. It deals with the scientific foundation of how to do data science regression models, residuals, measures of the quality of the prediction, etc. The teacher is clearly a mathematician and has an academic style of presenting. He is very clear and chooses the subject in a clever way. One always understands what he or she is doing.Highly recommended. It doesn't get five stars only because it covers only the basics; I would have really liked it to last twice as much!","{'cours': ['course'], 'seri': ['series'], 'foundat': ['foundation'], 'scienc regress model': ['science regression models'], 'residu': ['residuals'], 'qualiti': ['quality'], 'teacher': ['teacher'], 'mathematician': ['mathematician'], 'style': ['style'], 'subject': ['subject'], 'way': ['way'], 'basic': ['basics']}"
253,Very well thought-out!,{}
254,Everything you need to know to have a clear understanding of regression models and learn how to use their basic functions in R.,"{'everyth': ['Everything'], 'understand': ['understanding'], 'regress model': ['regression models'], 'function': ['functions'], 'r.': ['R.']}"
255,Excellent overview of a very broad and complex topic with plenty of useful applications within R. The course project does an outstanding job at teaching the pitfalls of omitted variable bias.,"{'overview': ['overview'], 'topic': ['topic'], 'plenti': ['plenty'], 'applic': ['applications'], 'r': ['R']}"
