,comment,target
101,"A little bit short, but a great introductory class. Won't go into too much detail, but will get you started on the subject.","{'bit': ['bit'], 'class': ['class'], 'detail': ['detail'], 'subject': ['subject']}"
102,"Excellent course, video lectures were very useful, psychology portion was especially interesting.","{'cours': ['course'], 'video': ['video'], 'psycholog portion': ['psychology portion']}"
103,"Parts are thin on detail. This is a good and broad overview but lacks in-depth information of use to cyber security specialists. Still, a good course to start with if you plan to move forward.","{'part': ['Parts'], 'detail': ['detail'], 'overview': ['overview'], 'inform': ['information'], 'use': ['use'], 'cyber secur specialist': ['cyber security specialists'], 'cours': ['course']}"
104,"The topic of the course is very interesting, the readings were important, but some of the reading were based on a book, that I had to purchase. Was a very useful course, but was a little bit tiring, videos with 12 minutes with too much theory but less pratical examples. But was a good experience. I would like to thanks the professors, that made this course.","{'topic': ['topic'], 'cours': ['course'], 'read': ['readings', 'reading'], 'bit': ['bit'], 'video': ['videos'], 'minut': ['minutes'], 'theori': ['theory'], 'exampl': ['examples'], 'experi': ['experience'], 'thank': ['thanks'], 'professor': ['professors']}"
105,Good for an international perspective on Cyber Conflicts. Covers a wide range of topics,"{'perspect': ['perspective'], 'cyber conflict': ['Cyber Conflicts'], 'rang': ['range'], 'topic': ['topics']}"
106,Wished the course was a deeper dive into this area.,"{'cours': ['course'], 'dive': ['dive'], 'area': ['area']}"
107,The course content was great but delivery was a little dry. Appears that the presenters were reading from a teleprompter - sort of awkward.,"{'cours content': ['course content'], 'deliveri': ['delivery'], 'present': ['presenters'], 'teleprompt': ['teleprompter'], 'sort': ['sort']}"
108,This course was very informative and helped me understand about International Cyber Conflicts. Ahmad.,"{'cours': ['course'], 'intern cyber conflict': ['International Cyber Conflicts']}"
109,"Course was ok. However, some of questions were not clear based on excerpt from support video. For example, quiz 1 question 7. Course was general overview of very important subject matter of Cyber Conflicts. Looking forward to a more specific and detailed course structure. PS A course concerning Cyberwar in Space would be quite interesting.","{'cours': ['Course'], 'question': ['questions'], 'excerpt': ['excerpt'], 'support video': ['support video'], 'exampl': ['example'], 'quiz question': ['quiz question'], 'overview': ['overview'], 'matter': ['matter'], 'cyber conflict': ['Cyber Conflicts'], 'cours structur': ['course structure'], 'ps a cours': ['PS A course'], 'cyberwar': ['Cyberwar'], 'space': ['Space']}"
110,A comprehensive course with good thematic.,{'cours': ['course']}
111,Good material. ,{'materi': ['material']}
112,Very useful course!,{'cours': ['course']}
113,+ Excellent introduction and overview. Recommend!-Some of the readings were not available on the internet,"{'introduct': ['introduction'], 'overview': ['overview']}"
114,"This course is very interesting and actualized. My unique problem is about the certificate, I need information about the quantity of hours duration.","{'cours': ['course'], 'problem': ['problem'], 'certif': ['certificate'], 'inform': ['information'], 'quantiti': ['quantity']}"
115,Great information on cyber conflicts and the psychology of cyber conflict and warfare. ,"{'inform': ['information'], 'cyber conflict': ['cyber conflict', 'cyber conflicts'], 'psycholog': ['psychology'], 'warfar': ['warfare']}"
116,"Excellent instructors, very interesting subject and great learning experience. Highly recommended Course for those aiming to master this subject.","{'instructor': ['instructors'], 'subject': ['subject'], 'learn experi': ['learning experience'], 'cours': ['Course']}"
117,awesome course I learned a great ,{'cours': ['course']}
