,comment,target
107,"Very Nice course. I have gained some confidence in Bootstrap now. I will like to Thank, Prof. Muppala for his hard effort for us students. Thank you Sir.","{'cours': ['course'], 'confid': ['confidence'], 'bootstrap': ['Bootstrap'], 'prof. muppala': ['Prof. Muppala'], 'effort': ['effort'], 'us student': ['us students'], 'sir': ['Sir']}"
108,comprehensively teaches the topics and impressed with it ,{'topic': ['topics']}
109,Really good course for those who want to learn more about Bootstrap and basic stuff about front-end technologies.,"{'cours': ['course'], 'bootstrap': ['Bootstrap'], 'stuff': ['stuff'], 'technolog': ['technologies']}"
110,it was a good course. but it was super boring as hellthat's why I didn't continue learning the other modulesmost of coursera's courses as boring but this was the most boring,"{'cours': ['course', 'courses'], 'bore': ['boring'], 'hellthat': ['hellthat'], 'modulesmost': ['modulesmost'], 'coursera': ['coursera']}"
111,Very nice! Some things I felt that went too fast but in general it was great!,{'thing': ['things']}
112,"The assignment instructions weren't clear and when uploading the assignment files, the pages didn't render properly. This also was a problem during peer review of assignments.","{'assign instruct': ['assignment instructions'], 'assign file': ['assignment files'], 'page': ['pages'], 'problem': ['problem'], 'review': ['review'], 'assign': ['assignments']}"
113,Excellent course!,{'cours': ['course']}
114,"Absolutely great course, I learned a lot.","{'cours': ['course'], 'lot': ['lot']}"
115,Very useful course! I learned a lot and can't wait to learn more from the next course! Thanks,"{'cours': ['course'], 'lot': ['lot'], 'thank': ['Thanks']}"
116,A great course to learn about bootstrap if you are a beginner. ,"{'cours': ['course'], 'bootstrap': ['bootstrap'], 'beginn': ['beginner']}"
117,Awesome course indeed. I bet these courses are more credible than the degree courses which we follow at most of the universities.,"{'cours': ['course', 'courses'], 'degre cours': ['degree courses'], 'univers': ['universities']}"
118,Nice Course,{'cours': ['Course']}
119,Very good,{}
120,Good,{}
121,Excellent course!,{'cours': ['course']}
122,Great course to understand responsive design and to take a nice and deep start up with bootstrap framework! ,"{'cours': ['course'], 'design': ['design'], 'start': ['start'], 'bootstrap framework': ['bootstrap framework']}"
123,Excellent course. The content is well organized. It has a short task after each module. It helps a lot to understand every part of the course. I highly recommend it!!!,"{'cours': ['course'], 'content': ['content'], 'task': ['task'], 'modul': ['module'], 'lot': ['lot'], 'part': ['part']}"
124,very good course. I add this comment when I review this course ,"{'cours': ['course'], 'comment': ['comment']}"
125,"It's the very good course, the professor has a incridible form to explain.","{'cours': ['course'], 'professor': ['professor'], 'form': ['form']}"
126,Needs more practical examples.Like project for free.,{'examples.lik project': ['examples.Like project']}
127,Thanks for this opportunity!,"{'thank': ['Thanks'], 'opportun': ['opportunity']}"
128,Good and Informative,{}
129,"I was able to learn Bootstrap effectively from this course. The assignments were good practise. However, reviewing other peoples assignments was a bit annoying, as their files had to be downloaded and put opened in a browser and it was a bit of as tedious process. The teaching style was good. ","{'bootstrap': ['Bootstrap'], 'cours': ['course'], 'assign': ['assignments'], 'practis': ['practise'], 'peopl assign': ['peoples assignments'], 'bit': ['bit'], 'file': ['files'], 'browser': ['browser'], 'process': ['process'], 'teach style': ['teaching style']}"
130,good,{}
131,Very well delivered. I do believe however that the peer review may sometimes let certain details slip through and as a result the learning experience might be not as good as it could be.,"{'peer review': ['peer review'], 'detail': ['details'], 'result': ['result'], 'learn experi': ['learning experience']}"
132,It is an awsome course. ,{'cours': ['course']}
133,Very very helpful course! The instructor speed slowly and I can listen the course clearly! Thank you!,"{'cours': ['course'], 'instructor speed': ['instructor speed']}"
134,Excellent Course,{'cours': ['Course']}
135,good instructions,{'instruct': ['instructions']}
136,I feel like the Bootstrap content was very well presented. It was easy for me to understand and I had no major problems with assignments after watching all the materials and doing excersies along the way. ,"{'bootstrap content': ['Bootstrap content'], 'problem': ['problems'], 'assign': ['assignments'], 'materi': ['materials'], 'excersi': ['excersies'], 'way': ['way']}"
137,"Easy, but learned a lot.","{'easi': ['Easy'], 'lot': ['lot']}"
138,A good course to getting used to how things work and being briefly exposed to the tools available.,"{'cours': ['course'], 'thing': ['things'], 'tool': ['tools']}"
139,This is very good course about ui frameworks and tools,"{'cours': ['course'], 'ui framework': ['ui frameworks'], 'tool': ['tools']}"
140,"Good Teaching method! professor teaches very nicely!, Easy to learn!Thank you.Team Couresera","{'teach method': ['Teaching method'], 'professor': ['professor']}"
141,It is always fun learning in Coursera! Professor Muppala made it even more interesting.Thank you sir!I feel more hands on assignments to have a better understanding will be more exciting ,"{'fun learn': ['fun learning'], 'coursera': ['Coursera'], 'professor muppala': ['Professor Muppala'], 'hand': ['hands'], 'assign': ['assignments'], 'understand': ['understanding']}"
142,"It was an excellent journey on Bootstrap. The instructor, Mr Jogesh was really helpful in taking us through the course giving a strong insight into the bootstrap world. This course has given me a confidence in building a responsive website UI ahead. Hoping to enhance the knowledge in the coming courses in the specialization and build a strong career as Web dev.Thank You, Sir!","{'journey': ['journey'], 'bootstrap': ['Bootstrap'], 'instructor': ['instructor'], 'mr jogesh': ['Mr Jogesh'], 'cours': ['course', 'courses'], 'insight': ['insight'], 'world': ['world'], 'confid': ['confidence'], 'websit ui': ['website UI'], 'knowledg': ['knowledge'], 'special': ['specialization'], 'career': ['career'], 'web dev.thank': ['Web dev.Thank'], 'sir': ['Sir']}"
143,Good for to get knowledge in web tools.,"{'knowledg': ['knowledge'], 'web tool': ['web tools']}"
144,"It'a really good course, well explained.My only observation would be that it's really frustrating that you cannot submit your work, just because you didn't payed for the course.","{'cours': ['course'], 'work': ['work']}"
