,comment,target
282,Lectures are too complicated. I understand that material is not easy and one should do a lot of research and reading to understand the essence of the taught algorithms but the lecturer is also not very helpful and assignments are everywhere on the internet which nobody needs to get tired of thinking a little to do the homework as their product.,"{'lectur': ['lecturer', 'Lectures'], 'materi': ['material'], 'lot': ['lot'], 'research': ['research'], 'essenc': ['essence'], 'algorithm': ['algorithms'], 'assign': ['assignments'], 'homework': ['homework'], 'product': ['product']}"
283,Unexpectedly challenging and insightful.,{}
284,"Rather basic, nevertheless a good introduction to the topic of machine learning with R. Mostly concentrated on applications of the R caret package. ","{'introduct': ['introduction'], 'topic': ['topic'], 'machin learn': ['machine learning'], 'r.': ['R.'], 'applic': ['applications'], 'r caret packag': ['R caret package']}"
285,"Fun course, also practical and useful",{'fun cours': ['Fun course']}
286,"Nice course, Gives a god insight on what can me done with R and Predictions","{'cours': ['course'], 'god insight': ['god insight'], 'r': ['R'], 'predict': ['Predictions']}"
287, Excellent introductory course to Machine Learning. Very informative materials. Prof. Leek is a great teacher. ,"{'cours': ['course'], 'machin learn': ['Machine Learning'], 'materi': ['materials'], 'prof. leek': ['Prof. Leek'], 'teacher': ['teacher']}"
288,The machine learning course every Data Scientist should do.,"{'machin': ['machine'], 'cours': ['course'], 'data scientist': ['Data Scientist']}"
289,"Great course, very demanding, but it could use more reading material, ebooks instead of links on video. ","{'cours': ['course'], 'materi': ['material'], 'ebook': ['ebooks'], 'link': ['links'], 'video': ['video']}"
290,"It's very cookbook driven - it's not a deep dive into the topics. This can be dangerous a little knowledge and all that. However references for more are provided. If you can imitate the coding examples, you should be OK for the assignments. Fair warning the quizzes are hard to replicate unless you set up your environment to mirror exactly the version of the packages used in the course. ","{'dive': ['dive'], 'topic': ['topics'], 'knowledg': ['knowledge'], 'refer': ['references'], 'exampl': ['examples'], 'assign': ['assignments'], 'fair': ['Fair'], 'quizz': ['quizzes'], 'version': ['version'], 'packag': ['packages'], 'cours': ['course']}"
291,"Very enjoyable and generally quite understandable introduction to machine learnings with hands-on approach through the course project. It was a bit too fast-paced and generic for my liking, but many options were offered and highlighted for finding additional learning documents and courses to be able to deepen the knowledge acquired in this course.","{'introduct': ['introduction'], 'machin learn': ['machine learnings'], 'approach': ['approach'], 'cours project': ['course project'], 'bit': ['bit'], 'like': ['liking'], 'option': ['options'], 'document': ['documents'], 'cours': ['course', 'courses'], 'knowledg': ['knowledge']}"
292,Great topic with a great instructor. Only wish the program was a little longer to spend some more time on some of the models.,"{'great': ['Great'], 'topic': ['topic'], 'instructor': ['instructor'], 'program': ['program'], 'time': ['time'], 'model': ['models']}"
293,"I learned a lot in this class. There are slight gaps from the depth of material covered in the lectures to the quizzes and assignment. If you're good at researching online, you'll be fine.","{'lot': ['lot'], 'class': ['class'], 'gap': ['gaps'], 'depth': ['depth'], 'materi': ['material'], 'quizz': ['quizzes'], 'assign': ['assignment'], 'onlin': ['online']}"
294,Just the right level of detail,"{'level': ['level'], 'detail': ['detail']}"
295,"Good course for learning the basics of the caret package. However, it is not a good course for learning machine learning.","{'cours': ['course'], 'basic': ['basics'], 'caret packag': ['caret package'], 'machin learn': ['machine learning']}"
296,Awesome course giving a practical experience of a Data Scientist.Perfect place to get your hands dirty! ,"{'cours': ['course'], 'experi': ['experience'], 'data scientist.perfect place': ['Data Scientist.Perfect place'], 'hand': ['hands']}"
297, To be honest I don't think this is worth the money. ,{}
298,Great and Excellent thoughts and course material. ,"{'great': ['Great'], 'thought': ['thoughts'], 'cours materi': ['course material']}"
299,Extremely useful class! Jeff also has many excellent suggestions for resources that will teach you even more about machine learning.,"{'class': ['class'], 'jeff': ['Jeff'], 'suggest': ['suggestions'], 'resourc': ['resources'], 'machin learn': ['machine learning']}"
300,A very good course.,{'cours': ['course']}
301,"Great course, very high paced with a lot of information. would have been great to add two more weeks and another project to use more machine learning","{'cours': ['course'], 'lot': ['lot'], 'inform': ['information'], 'week': ['weeks'], 'project': ['project'], 'machin learn': ['machine learning']}"
302,"Good material, presented in an organized fashion. I was able to apply what I learned immediately in a work setting.","{'materi': ['material'], 'fashion': ['fashion'], 'work set': ['work setting']}"
303,Title says everything. Practically and basically no theory explained. Good course though.,"{'titl': ['Title'], 'everyth': ['everything'], 'theori': ['theory'], 'cours': ['course']}"
304,"The course is really great, however it should last a little longer, 4 weeks is hard to accomplish","{'cours': ['course'], 'week': ['weeks']}"
305,Nice learning course,{'learn cours': ['learning course']}
306, Awesome Course !! ,{'cours': ['Course']}
307,Very informative course.,{'cours': ['course']}
308,One of the most valuable courses in the specialization!,"{'cours': ['courses'], 'special': ['specialization']}"
309,"I enjoyed a lot this module, I'll use at my daily work some of the features I learned","{'lot': ['lot'], 'modul': ['module'], 'work': ['work']}"
310,Excellent introduction to machine learning. I feel that I have a good basic foundation to start building upon.,"{'introduct': ['introduction'], 'machin learn': ['machine learning'], 'foundat': ['foundation']}"
311,Nice course.,{'cours': ['course']}
312,In my view the course was useful but not as good as the previus ones I followed in the specializacion such as regression models and stat. inference The subject was too broad and there was no space to cover in detail all the algorithms. Also I think it's a bit out of date because there is no references to xgbboost which is now dominating many Kaggle contests,"{'view': ['view'], 'cours': ['course'], 'one': ['ones'], 'regress model': ['regression models'], 'stat': ['stat'], 'infer subject': ['inference subject'], 'space': ['space'], 'detail': ['detail'], 'algorithm': ['algorithms'], 'bit': ['bit'], 'date': ['date'], 'refer': ['references'], 'kaggl contest': ['Kaggle contests']}"
313,Very little depth. I don't recommend this if you don't already have background in statistics or R. I really didn't learn anything. I mostly just gamed the quizzes and projects.,"{'depth': ['depth'], 'background': ['background'], 'statist': ['statistics'], 'anyth': ['anything'], 'quizz': ['quizzes'], 'project': ['projects']}"
314,This is a very useful course in Machine Learning that teaches us how to use the R based packages such as CARET for applying machine learning techniques. The course project helps understand how these techniques are applied in real world applications and develop useful insights. ,"{'cours': ['course'], 'machin learn': ['Machine Learning'], 'r': ['R'], 'packag': ['packages'], 'caret': ['CARET'], 'machin learn techniqu': ['machine learning techniques'], 'cours project': ['course project'], 'techniqu': ['techniques'], 'world applic': ['world applications'], 'insight': ['insights']}"
315,Course content feels upside down. You'll learn about machine algorithm specifics and caveats before anyone explains what the said algorithm actually hopes to achieve.,"{'cours content': ['Course content'], 'machin algorithm specif': ['machine algorithm specifics'], 'caveat': ['caveats'], 'anyon': ['anyone'], 'algorithm': ['algorithm']}"
316,"The course feels rushed. I understand teaching Machine Learning in 4 weeks is impossible, but then maybe the course needs to have a narrower yet deeper scope rather than throw at you many concepts without details. e.g. trees, random forests, bagging and boosting all in 10 minutes each? Impossible...So, as opposed to creating machine learning intuition I feel the course became an R package code book. ","{'cours': ['course'], 'teach machin learn': ['teaching Machine Learning'], 'week': ['weeks'], 'scope': ['scope'], 'concept': ['concepts'], 'detail': ['details'], 'tree': ['trees'], 'forest': ['forests'], 'machin learn intuit': ['machine learning intuition'], 'packag code book': ['package code book']}"
317,Good overview of available techniques and the Caret package. Will get you started in machine learning.,"{'overview': ['overview'], 'techniqu': ['techniques'], 'caret packag': ['Caret package'], 'machin learn': ['machine learning']}"
318,"Nice, other courses will go more in depth though.","{'cours': ['courses'], 'depth': ['depth']}"
