,comment,target
108,Extremely practical lessons that can be applied at work immediately.,"{'lesson': ['lessons'], 'work': ['work']}"
109,Very good need more good content like this. ,"{'need': ['need'], 'content': ['content']}"
110,"Very clear and organized, I will certainly make use of what I learned when writing programs or designing software.","{'use': ['use'], 'program': ['programs'], 'softwar': ['software']}"
111,Great course and interesting. ,{'cours': ['course']}
112,"iTS Okay. a few things seem a bit hokey. the interviews etc. But overall, not too bad. Good learning points.But will I pay for this. NO. Mainly b c its hard to translate it in to a tangible value. No employer will say, OH, you took this class. Let me give you a job or promotion or more money...","{'it': ['iTS'], 'thing': ['things'], 'bit': ['bit'], 'learn points.but': ['learning points.But'], 'valu': ['value'], 'class': ['class'], 'job': ['job'], 'promot': ['promotion'], 'money': ['money']}"
113,"Videos with guest speakers were unhelpful. Also, quizzes were not accurate and poorly written questions. ","{'video': ['Videos'], 'guest speaker': ['guest speakers'], 'quizz': ['quizzes'], 'question': ['questions']}"
114,"very helpful course , and it is help us to improve our knowledge and skills ","{'cours': ['course'], 'knowledg': ['knowledge'], 'skill': ['skills']}"
115,"Thank you! I have learned a lot through the course, in a fun and easy way. ","{'lot': ['lot'], 'cours': ['course'], 'fun': ['fun'], 'way': ['way']}"
116,"OK, but not really in-depth. Still has useful pointers, but they could be summarized on an A4 sheet.",{'pointer': ['pointers']}
117,"This is a course for students with little or no work experience. I've been in the industry for twenty years and found some good information, but the quizes aren't designed for experienced adult learners. Not being able to discuss with the professor why an answer is incorrect or even knowing exactly what about an answer makes it incorrect further distances the students from learning. Given that one essentially spends an extra work day each week on the course, I expected more value for my precious time. This week I decided the value isn't there. I might recommend the course for undergrad students but not for working adults.","{'cours': ['course'], 'student': ['students'], 'work experi': ['work experience'], 'industri': ['industry'], 'year': ['years'], 'inform': ['information'], 'learner': ['learners'], 'professor': ['professor'], 'answer': ['answer'], 'distanc': ['distances'], 'work day': ['work day'], 'week': ['week'], 'valu': ['value'], 'time': ['time'], 'undergrad student': ['undergrad students'], 'adult': ['adults']}"
118,"Awesome. I am genuinely exited that I actually took and finished this course. Great content, actionable and at some moments, eye opener.I totally recommend it.","{'cours': ['course'], 'content': ['content'], 'eye opener.i': ['eye opener.I']}"
119,Great course with a easy way yo learn about Usable Security.,"{'cours': ['course'], 'way': ['way'], 'yo': ['yo'], 'secur': ['Security']}"
120,Very useful insight about Usability in Security. Advice to everyone interested in Cyber Security.,"{'insight': ['insight'], 'usabl': ['Usability'], 'secur': ['Security'], 'everyon': ['everyone'], 'cyber secur': ['Cyber Security']}"
121,"Doesnt meet my expectations - it is all about Usable, but not about Security at all.",{'secur': ['Security']}
122,"Very informative, easy to understand and gives a clear understanding about the overall concept on usable security.","{'understand': ['understanding'], 'concept': ['concept'], 'secur': ['security']}"
123,Excellent and useful lecture,{'lectur': ['lecture']}
124,"The entirety of this course can be taught in a few sentences. If there is too great a sacrifice to productivity for the sake of security, then people will find a way around any security mechanisms in place. If something is difficult to use, then people will likely not use it. ","{'cours': ['course'], 'sentenc': ['sentences'], 'sacrific': ['sacrifice'], 'product': ['productivity'], 'sake': ['sake'], 'secur': ['security'], 'peopl': ['people'], 'way': ['way'], 'someth': ['something']}"
125,I missed more pratical exercises about it.,{'exercis': ['exercises']}
126,Gives different perspective on the Cyber Security field.,"{'perspect': ['perspective'], 'cyber secur field': ['Cyber Security field']}"
127,thanks,{'thank': ['thanks']}
128,Excellent explanation with very nice examples.,"{'explan': ['explanation'], 'exampl': ['examples']}"
129,Excellent course. Learned a lot about usable security.,"{'cours': ['course'], 'lot': ['lot'], 'secur': ['security']}"
130,the best one,{}
131,Great course. It opened my mind in a few aspects of day to day privacy and security aspects people tend to ignore.,"{'cours': ['course'], 'mind': ['mind'], 'aspect': ['aspects'], 'day': ['day'], 'day privaci': ['day privacy'], 'secur aspect peopl': ['security aspects people']}"
132,It's a good course,{'cours': ['course']}
133,It was very interesting course! Thank you.,{'cours': ['course']}
134,Excellent course filled with plenty of info to get you started thinking about usable security.,"{'cours': ['course'], 'plenti': ['plenty'], 'info': ['info'], 'secur': ['security']}"
